ts	phase	decision	why	evidence	result
2026-09-22T10:19:47Z	frame	chose the figure-it-out playbook	cross-format migration with a one-way door and a human reviewing later	.audit/plan.md	plan written
2026-09-22T10:19:47Z	harness	captured the v1 colors before touching anything	so the v2 themes can be checked against the colors the old package shipped	test/expected-colors.json	14 themes, 50 keys each
2026-09-22T10:19:47Z	harness	wrote the validator and ran it against the v1 files	a check that cannot fail on the old format proves nothing	scripts/validate-themes.mjs	red on all 14 v1 files, as expected
2026-09-22T10:19:47Z	themes	generator now emits v2 documents through opencode's migrateV1	hand-rolled hue math produced a NaN color in a bakeoff, and opencode's own migration keeps every mapped color exact	scripts/generate-themes.mjs	686 token colors match, 0 drift
2026-09-22T10:31:17Z	plugin	the plugin is a v2 TUI entrypoint that copies themes into the config theme dir	v2 has no oc-themes and the plugin API cannot register themes, so the package has to place the files where the scanner looks	src/tui.ts, src/themes.ts	unit tested, idempotent
2026-09-22T10:31:17Z	plugin	import @opencode/plugin/tui for types only	the live drive failed with Cannot find package until the value import was dropped	src/tui.ts:7, live-proof first run	type-only import loads
2026-09-22T10:31:17Z	live	drove the real v2 binary in a sandbox and checked the painted background	a passing unit test is not proof the TUI renders the theme	scripts/live-proof.mjs	PASS: 14 themes installed, #2d2a2e painted, second start rewrote nothing
2026-09-22T10:33:28Z	plugin	SIGUSR2 is the theme refresh signal, not a hack	the v2 theme source subscribes to it to re-scan the theme directories, and a second SIGUSR2 to self is harmless	binary string offset 139745140 (process.on SIGUSR2 in the theme source), live drive painted without restart	themes appear in the running TUI
2026-09-22T10:33:28Z	plugin	kept a project scope option	v1 supported a local scope and the v2 scanner reads project .opencode/themes	src/themes.ts themeTargetDirectory, live drive with scope=project	re-verified after the review: 14 themes at the git root, 0 in the session subdir
2026-09-22T10:44:24Z	cleanup	deslop pass removed the unused Effect import and a dead fallback	the capture script was first written as a one-off, then kept and made rerunnable so the baseline has provenance	git diff, scripts/validate-themes.mjs:9	all gates still green
2026-09-22T10:44:24Z	cleanup	no-comments pass kept only the why comments the code cannot show	the type-only import and the theme scanner location are both non-obvious	src/tui.ts:5, src/themes.ts:3	comments trimmed, behaviour unchanged
2026-09-22T11:20:00Z	review	project scope walks up to the repository root	the first version wrote to the session directory, so starting opencode in a subdirectory put themes in the wrong place	src/themes.ts projectRoot, test 'project scope writes at the repository root', live drive from project/subdir	14 themes at the git root, 0 in the subdir
2026-09-22T11:20:00Z	review	added a borderSubtle check after the review found the token uncovered	v2 has one border token and the migration drops borderSubtle, so the check has to assert the surviving border matches it	scripts/validate-themes.mjs checkBorderSubtle	700 checks, red when the border is corrupted
2026-09-22T11:20:00Z	review	made the baseline reproducible from the v1 files	the reviewer could not confirm the baseline's provenance from the repo, only from a commit message	scripts/capture-v1-colors.mjs, byte-identical rerun from ref 5cb4115	IDENTICAL
2026-09-22T11:20:00Z	review	v1 shipped both modes with identical colors; v2 themes declare one	migrateV1 collapses a theme with equal modes to a single-mode document, which is a format-level change	themes/*.json top-level keys, README v2 differences section	12 dark themes, 2 light themes
